12.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -75, frequency: 5680
13.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -82, frequency: 2437
14.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -91, frequency: 5560
15.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -91, frequency: 5680
Time passed (ms): 1363695175464
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5260
6.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -70, frequency: 5260
7.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -61, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5560
10.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
11.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 5680
12.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -75, frequency: 5680
13.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -82, frequency: 2437
14.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -91, frequency: 5560
15.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -91, frequency: 5680
Time passed (ms): 1363695178867
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -87, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -87, frequency: 2417
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
6.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
7.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -58, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5560
10.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2412
11.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5680
12.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -84, frequency: 5560
13.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -59, frequency: 2437
14.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2437
Time passed (ms): 1363695178915
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -87, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -87, frequency: 2417
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
6.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
7.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -58, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5560
10.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2412
11.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5680
12.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -84, frequency: 5560
13.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -59, frequency: 2437
14.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2437
Time passed (ms): 1363695182304
1.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5680
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -61, frequency: 2437
8.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
9.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -73, frequency: 2462
11.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -78, frequency: 5680
12.SSID: mops, BSSID: 00:17:df:a7:e8:d0, capabilities: [ESS], level: -79, frequency: 2437
13.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -79, frequency: 2412
14.SSID: mops, BSSID: d0:c2:82:b6:73:ff, capabilities: [ESS], level: -93, frequency: 5260
Time passed (ms): 1363695182323
1.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5680
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -61, frequency: 2437
8.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
