3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2432
4.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5680
5.SSID: mops, BSSID: 00:17:df:a7:e8:de, capabilities: [ESS], level: -90, frequency: 5680
6.SSID: mops, BSSID: 00:17:df:a7:e8:d1, capabilities: [ESS], level: -86, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -91, frequency: 5280
Time passed (ms): 1363345510593
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2462
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2432
4.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5680
5.SSID: mops, BSSID: 00:17:df:a7:e8:de, capabilities: [ESS], level: -90, frequency: 5680
6.SSID: mops, BSSID: 00:17:df:a7:e8:d1, capabilities: [ESS], level: -86, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -91, frequency: 5280
Time passed (ms): 1363345514030
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2462
3.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -78, frequency: 5280
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5240
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5280
6.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -68, frequency: 5240
8.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -72, frequency: 2437
9.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -80, frequency: 2462
Time passed (ms): 1363345514034
