1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -76, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -77, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
6.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
7.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5680
8.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -70, frequency: 2437
9.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -81, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -92, frequency: 5680
Time passed (ms): 1363695889330
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -76, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -77, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
6.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
7.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5680
8.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -70, frequency: 2437
9.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -81, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -92, frequency: 5680
Time passed (ms): 1363695892721
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -74, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5680
6.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -69, frequency: 2437
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 2462
8.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
9.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2417
10.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -78, frequency: 5680
11.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
Time passed (ms): 1363695892728
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -74, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5680
6.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -69, frequency: 2437
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 2462
8.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
9.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2417
10.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -78, frequency: 5680
11.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
Time passed (ms): 1363695896191
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -71, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -70, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -67, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -90, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2412
9.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -89, frequency: 2412
Time passed (ms): 1363695896207
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -71, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -70, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -67, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -90, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2412
9.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -89, frequency: 2412
Time passed (ms): 1363695899632
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -77, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -64, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -89, frequency: 5680
7.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
8.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -85, frequency: 2412
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5680
10.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
Time passed (ms): 1363695899636
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -77, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -64, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -89, frequency: 5680
7.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
8.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -85, frequency: 2412
