4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
5.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
6.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
7.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
8.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
9.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -90, frequency: 2412
10.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5280
11.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5240
12.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2412
13.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2437
14.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -88, frequency: 5240
15.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -87, frequency: 5280
16.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
17.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -90, frequency: 2437
Time passed (ms): 1362326099182
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2422
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
5.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
6.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
7.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
8.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
9.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -90, frequency: 2412
10.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5280
11.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5240
12.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2412
13.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2437
14.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -88, frequency: 5240
15.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -87, frequency: 5280
16.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
17.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -90, frequency: 2437
Time passed (ms): 1362326102769
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2422
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
5.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
6.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2422
7.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
8.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
9.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
10.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -77, frequency: 5240
11.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
12.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -90, frequency: 2437
13.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2437
Time passed (ms): 1362326102776
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2422
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
5.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
6.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2422
7.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
8.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
9.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
10.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -77, frequency: 5240
11.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
12.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -90, frequency: 2437
13.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2437
Time passed (ms): 1362326106353
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
3.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2422
4.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5240
6.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -79, frequency: 5240
